name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,name_2
Dhofar 667,7424,Valid,H5,424.00000,Found,01/01/2001 12:00:00 AM,19.11628,54.80950,"(19.11628, 54.8095)",Oman
Dhofar 668,7425,Valid,H5,500.00000,Found,01/01/2001 12:00:00 AM,19.10050,54.77292,"(19.1005, 54.77292)",Oman
Dhofar 669,7426,Valid,H5,425.00000,Found,01/01/2001 12:00:00 AM,19.09908,54.80670,"(19.09908, 54.8067)",Oman
Dhofar 670,7427,Valid,H5/6,633.00000,Found,01/01/2001 12:00:00 AM,19.10097,54.80688,"(19.10097, 54.80688)",Oman
Dhofar 671,7428,Valid,L6,81.00000,Found,01/01/2001 12:00:00 AM,19.08537,54.75128,"(19.08537, 54.75128)",Oman
Dhofar 672,7429,Valid,H6,453.00000,Found,01/01/2001 12:00:00 AM,19.20318,54.60555,"(19.20318, 54.60555)",Oman
Dhofar 673,7430,Valid,L6,1493.00000,Found,01/01/2001 12:00:00 AM,19.20630,54.60830,"(19.2063, 54.6083)",Oman
Dhofar 674,7431,Valid,L6,852.00000,Found,01/01/2001 12:00:00 AM,19.21305,54.61098,"(19.21305, 54.61098)",Oman
Dhofar 675,7432,Valid,Ureilite,40.00000,Found,01/01/2001 12:00:00 AM,19.21330,54.62908,"(19.2133, 54.62908)",Oman
Dhofar 676,7433,Valid,L6,110.00000,Found,01/01/2001 12:00:00 AM,19.22157,54.62478,"(19.22157, 54.62478)",Oman
Dhofar 677,7434,Valid,L6,533.00000,Found,01/01/2001 12:00:00 AM,19.22398,54.63223,"(19.22398, 54.63223)",Oman
Dhofar 678,7435,Valid,H5,698.00000,Found,01/01/2001 12:00:00 AM,19.26630,54.67140,"(19.2663, 54.6714)",Oman
Dhofar 679,7436,Valid,H5,1653.00000,Found,01/01/2001 12:00:00 AM,19.27163,54.66957,"(19.27163, 54.66957)",Oman
Dhofar 680,7437,Valid,L6,69.00000,Found,01/01/2001 12:00:00 AM,19.29330,54.68730,"(19.2933, 54.6873)",Oman
Dhofar 681,7438,Valid,H5,109.00000,Found,01/01/2001 12:00:00 AM,19.30317,54.69850,"(19.30317, 54.6985)",Oman
Dhofar 682,7439,Valid,H5/6,116.00000,Found,01/01/2001 12:00:00 AM,19.31245,54.71187,"(19.31245, 54.71187)",Oman
Dhofar 683,7440,Valid,H5,126.00000,Found,01/01/2001 12:00:00 AM,19.30697,54.71355,"(19.30697, 54.71355)",Oman
Dhofar 684,7441,Valid,L5,405.00000,Found,01/01/2001 12:00:00 AM,19.31268,54.71890,"(19.31268, 54.7189)",Oman
Dhofar 685,7442,Valid,H5/6,379.00000,Found,01/01/2001 12:00:00 AM,19.34538,54.73505,"(19.34538, 54.73505)",Oman
Dhofar 686,7443,Valid,L6,530.00000,Found,01/01/2001 12:00:00 AM,19.34450,54.72835,"(19.3445, 54.72835)",Oman
Dhofar 687,7444,Valid,H5/6,945.00000,Found,01/01/2001 12:00:00 AM,19.34150,54.72497,"(19.3415, 54.72497)",Oman
Dhofar 688,7445,Valid,L5,513.00000,Found,01/01/2001 12:00:00 AM,19.35335,54.74020,"(19.35335, 54.7402)",Oman
